quantity,name
10000,Мука пшеничная
5000,Сахар
3000,Яйца куриные
2000,Молоко
1500,Дрожжи
1000,Сливочное масло
800,Соль
700,Ванилин
600,Какао-порошок
500,Разрыхлитель
400,Мёд
350,Корица
300,Мак
250,Имбирь молотый
200,Грецкие орехи
180,Кунжут
150,Изюм
120,Курага
100,Чернослив
90,Кокосовая стружка
80,Лимонная цедра
70,Апельсиновая цедра
60,Миндаль
50,Фундук
45,Кешью
40,Финики
35,Инжир
30,Клюква
25,Вишня замороженная
20,Черника свежая
18,Малина
15,Клубника
12,Яблоки
10,Груши
8,Персики
5,Абрикосы
4,Сливки 33%
3,Творог
2,Сметана
1,Сгущённое молоко
500,Капуста
400,Картофель
300,Лук репчатый
200,Грибы
150,Мясной фарш
100,Рыба
80,Сыр
60,Печень куриная
50,Зелень
30,Чеснок
20,Помидоры
15,Оливки
10,Вяленые томаты
5,Перец болгарский
3,Кабачки
2,Тыква
1,Морковь