firmname;address;contact_number
"Кафе 'Уют'";ул. Ленина, 12, г. Москва;+7 (495) 111-22-33  
"Столовая 'Вкусно'";пр. Мира, 45, г. Санкт-Петербург;+7 (812) 222-33-44  
"Кофейня 'Арома'";ул. Гагарина, 8, г. Казань;+7 (843) 333-44-55  
"Ресторан 'Гранд'";пл. Революции, 3, г. Екатеринбург;+7 (343) 444-55-66  
"Пекарня 'Сдоба'";ул. Кирова, 20, г. Новосибирск;+7 (383) 555-66-77  
"Фастфуд 'Быстро'";бульвар Победы, 7, г. Ростов-на-Дону;+7 (863) 666-77-88  
"Кондитерская 'Сласть'";ул. Советская, 15, г. Уфа;+7 (347) 777-88-99  
"Отель 'Комфорт'";пр. Строителей, 10, г. Самара;+7 (846) 888-99-00  
"Кейтеринг 'Фуршет'";ул. Пушкина, 25, г. Краснодар;+7 (861) 999-00-11  
"Супермаркет 'Продукты'";ул. Садовая, 30, г. Нижний Новгород;+7 (831) 000-11-22  
"Кафе 'Бриз'";наб. Речная, 5, г. Воронеж;+7 (473) 123-45-67  
"Сеть булочных 'Хлебушко'";ул. Центральная, 11, г. Тюмень;+7 (345) 234-56-78  
"Кафетерий 'КофеПункт'";ул. Школьная, 2, г. Иркутск;+7 (395) 345-67-89  
"Ресторан 'Золотой'";пр. Гагарина, 18, г. Омск;+7 (381) 456-78-90  